"Name","Seed.Size_LDP","Cotyledon.Color_LDP","Seed.Area_LDP","Seed.Perimeter_LDP","Seed.Diameter_LDP","Minor.Axis_LDP","Major.Axis_LDP","Seed.Mass.1000.2015_LDP","Seed.Mass.1000.2016_LDP","Seed.Mass.1000.2017_LDP","Seed.Mass.1000.2018_LDP","Plumpness.2015_LDP","Plumpness.2016_LDP","Plumpness.2017_LDP","Plumpness.2018_LDP","Testa.Color.Green_LDP","Testa.Color.Grey_LDP","Testa.Color.Tan_LDP","Testa.Color.Brown_LDP","Testa.Color.Green.v.Grey_LDP","Testa.Color.Green.v.Tan_LDP","Testa.Color.Green.v.Brown_LDP","Testa.Color.Grey.v.Tan_LDP","Testa.Color.black_LDP","Testa.Pattern.All_LDP","Testa.Pattern.Present_LDP","Testa.Pattern.Mottle_LDP","Testa.Pattern.Mottle.v.Present_LDP","Testa.Pattern.Dotted_LDP","Testa.Pattern.Marbled_LDP","Testa.Pattern.Spotted_LDP","Testa.Pattern.Mottle123_LDP"
"CDC_Asterix_AGL","2","1",0.153,1.38,0.44,0.423,0.466,24.8,25.5,23,29.5890410958904,56.3210935724245,57.8023310713856,52.2991561185448,67.1799621248774,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"CDC_Rosie_AGL","2","0",0.155,1.39,0.444,0.425,0.475,26.9,26.1,25.9,34.4420131291028,60.5771749570684,58.8603401310461,58.282530582583,77.5915189391553,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"X3156.11_AGL","2","0",0.193,1.55,0.495,0.479,0.522,37.2,31.6,33.4,45.5729166666667,75.2280593317221,63.8900448390403,67.4684582854384,92.1078486413653,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"CDC_Greenstar_AGL","4","1",0.353,2.11,0.671,0.65,0.697,61.8,54.6,64.3,71.6857142857143,92.1742273630941,81.351888667992,95.8898830506131,106.887247940926,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"CDC_Cherie_AGL","2","0",0.169,1.45,0.463,0.448,0.486,27,39,34.9,44.5675675675676,58.2359099633572,84.2130518234165,75.3089348487136,96.2351506977227,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"CDC_Glamis_AGL","4","1",0.327,2.03,0.645,0.625,0.673,52,54.7,53.9,68.0357142857143,80.6117347778214,84.7623966942149,83.4734424210851,105.427243211334,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"CDC_Gold_AGL","4","1",0.32,2,0.638,0.62,0.662,26.6,54.9,53.7,52.9856850715746,41.733903043251,86.1127693730532,84.1413518113108,83.0930764321609,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"CDC_Imax_AGL","3","0",0.239,1.73,0.551,0.542,0.567,39.9,36.1,38.8,50.6131386861314,72.4608456005915,65.6079854809437,70.4288252677188,91.8568760183873,"0","1","0","1","1",NA,NA,"0","0","0","0","0",NA,"0","0","0","0"
"CDC_Impower_AGL","4","1",0.289,1.9,0.606,0.588,0.63,52.7,47.8,59.4,70.4901960784314,87.0406189555125,78.9631167355826,98.0322785690793,116.363126321695,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"CDC_KR.1_AGL","3","0",0.236,1.72,0.548,0.521,0.584,48.9,42.5,35.9,59.6989966555184,89.165439679208,77.471798274718,65.5062698858319,108.939774918829,"0","1","1","1",NA,NA,"1",NA,"0","0","0","0",NA,"0","0","0","0"
