"Entry","Name","Size","CotyledonColor","TestaColor","TestaSubColor","TestaPattern","BlackTesta","area","perimeter","diameter","minor.axis","major.axis","SeedMass1000.2015","SeedMass1000.2016","SeedMass1000.2017","SeedMass1000.2018","Plumpness_2015","Plumpness_2016","Plumpness_2017","Plumpness_2018"
1,"CDC Asterix AGL","M","Yellow","Green","Green","Absent","Absent",0.153,1.38,0.44,0.423,0.466,24.8,25.5,23,29.5890410958904,56.3210935724245,57.8023310713856,52.2991561185448,67.1799621248774
2,"CDC Rosie AGL","M","Red","Grey","Grey","Absent","Absent",0.155,1.39,0.444,0.425,0.475,26.9,26.1,25.9,34.4420131291028,60.5771749570684,58.8603401310461,58.282530582583,77.5915189391553
3,"3156-11 AGL","M","Red","Grey","Grey","Absent","Absent",0.193,1.55,0.495,0.479,0.522,37.2,31.6,33.4,45.5729166666667,75.2280593317221,63.8900448390403,67.4684582854384,92.1078486413653
4,"CDC Greenstar AGL","XL","Yellow","Green","Green","Absent","Absent",0.353,2.11,0.671,0.65,0.697,61.8,54.6,64.3,71.6857142857143,92.1742273630941,81.351888667992,95.8898830506131,106.887247940926
5,"CDC Cherie AGL","M","Red","Grey","Grey","Absent","Absent",0.169,1.45,0.463,0.448,0.486,27,39,34.9,44.5675675675676,58.2359099633572,84.2130518234165,75.3089348487136,96.2351506977227
6,"CDC Glamis AGL","XL","Yellow","Green","Green","Absent","Absent",0.327,2.03,0.645,0.625,0.673,52,54.7,53.9,68.0357142857143,80.6117347778214,84.7623966942149,83.4734424210851,105.427243211334
7,"CDC Gold AGL","XL","Yellow","Green","Green","Absent","Absent",0.32,2,0.638,0.62,0.662,26.6,54.9,53.7,52.9856850715746,41.733903043251,86.1127693730532,84.1413518113108,83.0930764321609
8,"CDC Imax AGL","L","Red","Grey","Grey","Absent","Absent",0.239,1.73,0.551,0.542,0.567,39.9,36.1,38.8,50.6131386861314,72.4608456005915,65.6079854809437,70.4288252677188,91.8568760183873
9,"CDC Impower AGL","XL","Yellow","Green","Green","Absent","Absent",0.289,1.9,0.606,0.588,0.63,52.7,47.8,59.4,70.4901960784314,87.0406189555125,78.9631167355826,98.0322785690793,116.363126321695
10,"CDC KR-1 AGL","L","Red","Brown","Brown","Absent","Absent",0.236,1.72,0.548,0.521,0.584,48.9,42.5,35.9,59.6989966555184,89.165439679208,77.471798274718,65.5062698858319,108.939774918829
